Code,Managers,Name,Stock01,Stock02,Stock03,Stock04,Stock05,Stock06,Stock07,Stock08,Stock09,Stock10
100061,张峰,富国中国中小盘混合,腾讯控股[00700](5.3%),康龙化成[03759](3.95%),信义玻璃[00868](3.92%),华润啤酒[00291](3.89%),青岛啤酒股份[00168](3.85%),福耀玻璃[03606](3.61%),海尔智家[06690](2.97%),美团-W[03690](2.45%),信义能源[03868](2.32%),安踏体育[02020](2.25%)
260108,刘彦春,景顺长城新兴成长,中国中免[601888](9.58%),五粮液[000858](9.52%),泸州老窖[000568](9.52%),贵州茅台[600519](9.42%),迈瑞医疗[300760](9.07%),药明康德[603259](8.07%),海大集团[002311](5.18%),海康威视[002415](4.43%),山西汾酒[600809](4.08%),晨光文具[603899](3.98%)
161725,侯昊,招商中证白酒指数,五粮液[000858](14.88%),贵州茅台[600519](14.16%),山西汾酒[600809](14.03%),泸州老窖[000568](13.02%),洋河股份[002304](12.72%),酒鬼酒[000799](5.77%),今世缘[603369](3.46%),古井贡酒[000596](2.81%),水井坊[600779](2.52%),口子窖[603589](2.48%)
2692,李元博,富国创新科技混合,顺络电子[002138](7.37%),三环集团[300408](7.35%),分众传媒[002027](7.07%),传音控股[688036](6.32%),金山办公[688111](4.64%),雅克科技[002409](4.5%),风华高科[000636](4.47%),立讯精密[002475](4.44%),韦尔股份[603501](4.16%),北方华创[002371](3.74%)
83,胡昕炜,汇添富消费行业混合,贵州茅台[600519](9.49%),山西汾酒[600809](9.49%),五粮液[000858](9.26%),中国中免[601888](8.2%),泸州老窖[000568](6.67%),宁德时代[300750](6.3%),百润股份[002568](6.25%),安井食品[603345](3.95%),科沃斯[603486](3.44%),酒鬼酒[000799](3.25%)
1714,袁芳,工银文体产业股票,宁德时代[300750](7.43%),海康威视[002415](6.61%),青岛啤酒[600600](4.56%),福耀玻璃[600660](3.97%),药明康德[603259](3.7%),锐科激光[300747](3.53%),古井贡酒[000596](3.22%),伊利股份[600887](3.06%),中国联通[600050](2.83%),五粮液[000858](2.76%)
519697,何帅,交银优势行业混合,三花智控[002050](8.05%),荣盛石化[002493](6.31%),三环集团[300408](4.94%),万科A[000002](3.82%),山东赫达[002810](2.97%),明泰铝业[601677](2.81%),建龙微纳[688357](2.68%),法拉电子[600563](2.48%),视源股份[002841](2.4%),顾家家居[603816](1.88%)
5827,张坤,易方达蓝筹精选混合,香港交易所[00388](9.9%),五粮液[000858](9.88%),腾讯控股[00700](9.78%),贵州茅台[600519](9.75%),泸州老窖[000568](9.71%),洋河股份[002304](9.68%),美团-W[03690](8.3%),招商银行[600036](6.81%),海康威视[002415](6.46%),招商银行[03968](3.07%)
1410,冯明远,信达澳银新能源产业,宁德时代[300750](3.66%),士兰微[600460](3.47%),比亚迪[002594](3.13%),富满电子[300671](2.99%),璞泰来[603659](2.67%),石大胜华[603026](2.3%),法拉电子[600563](2.29%),三利谱[002876](1.99%),天齐锂业[002466](1.76%),雅化集团[002497](1.64%)
519068,雷鸣,汇添富成长焦点,五粮液[000858](9.73%),中国中免[601888](9.26%),贵州茅台[600519](8.96%),百润股份[002568](8.03%),安井食品[603345](7.53%),迈瑞医疗[300760](5.81%),东方雨虹[002271](5.69%),立讯精密[002475](5.57%),安琪酵母[600298](3.25%),密尔克卫[603713](3.2%)
1938,周应波,中欧时代先锋,海康威视[002415](8.57%),赣锋锂业[002460](8.53%),宁德时代[300750](7.76%),深信服[300454](5.74%),邮储银行[601658](4.73%),中国宝安[000009](4.43%),华友钴业[603799](4.39%),福耀玻璃[600660](4.29%),国电南瑞[600406](4.12%),立讯精密[002475](3.86%)
163406,谢治宇,兴全合润混合,海尔智家[600690](8.35%),平安银行[000001](6.15%),海康威视[002415](5.89%),兴业银行[601166](4.34%),万华化学[600309](3.88%),锦江酒店[600754](3.4%),芒果超媒[300413](3.22%),晶晨股份[688099](3.12%),普洛药业[000739](2.96%),健友股份[603707](2.89%)
