StockName,Funds
水井坊[600779],招商中证白酒指数
美迪西[688202],工银养老产业股票
京东集团-SW[09618],易方达亚洲精选
新高教集团[02001],南方香港成长
中微公司[688012],万家行业优选混合
兖州煤业[600188],工银战略转型股票
绿盟科技[300369],鹏华新兴产业混合
华住集团-S[02943],南方香港成长
巨星科技[002444],广发稳健增长混合A类
信义玻璃[00868],富国中国中小盘混合
传音控股[688036],富国创新科技混合
石大胜华[603026],信达澳银新能源产业
苏泊尔[002032],易方达中小盘混合
风华高科[000636],富国创新科技混合
龙佰集团[002601],广发小盘成长混合（LOF）
高德红外[002414],广发小盘成长混合（LOF）
国电南瑞[600406],中欧时代先锋
京东方A[000725],广发小盘成长混合（LOF）
中国海外发展[00688],易方达亚洲精选
北新建材[000786],兴全趋势
中炬高新[600872],易方达中小盘混合
邮储银行[601658],中欧时代先锋
顺鑫农业[000860],易方达消费行业
春秋航空[601021],中欧新蓝筹混合A
安恒信息[688023],万家行业优选混合
锦欣生殖[01951],易方达亚洲精选
长亮科技[300348],鹏华新兴产业混合
富满电子[300671],信达澳银新能源产业
三利谱[002876],信达澳银新能源产业
阿里巴巴-SW[09988],易方达亚洲精选
福斯特[603806],易方达新收益A
南京银行[601009],工银战略转型股票
天赐材料[002709],富国高新技术产业
口子窖[603589],招商中证白酒指数
雅化集团[002497],信达澳银新能源产业
中国宝安[000009],中欧时代先锋
迈克生物[300463],鹏华新兴产业混合
锐科激光[300747],工银文体产业股票
药明生物[02269],前海开源沪港深优势精选
小康股份[601127],广发小盘成长混合（LOF）
三花智控[002050],交银优势行业混合
良信股份[002706],汇添富蓝筹稳健混合
贝泰妮[300957],银华富裕主题混合
通威股份[600438],银华中小盘精选混合
牧原股份[002714],易方达消费行业
海天味业[603288],天弘中证食品饮料指数A
思瑞浦[688536],万家行业优选混合
明泰铝业[601677],交银优势行业混合
士兰微[600460],信达澳银新能源产业
华友钴业[603799],中欧时代先锋
华鲁恒升[600426],易方达新收益A
金域医学[603882],易方达新收益A
杭氧股份[002430],工银养老产业股票
美年健康[002044],易方达中小盘混合
华夏视听教育[01981],南方香港成长
今世缘[603369],招商中证白酒指数
健帆生物[300529],广发小盘成长混合（LOF）
中教控股[00839],南方香港成长
海尔智家[06690],富国中国中小盘混合
建龙微纳[688357],交银优势行业混合
晨光文具[603899],景顺长城新兴成长
邮储银行[01658],易方达亚洲精选
坚朗五金[002791],工银战略转型股票
康希诺[688185],银华富裕主题混合
唯品会[VIPS],易方达亚洲精选
海吉亚医疗[06078],南方香港成长
华夏航空[002928],工银战略转型股票
妙可蓝多[600882],兴全趋势
卓胜微[300782],银华中小盘精选混合
中天科技[600522],交银新生活力混合
泰和新材[002254],工银养老产业股票
恩捷股份[002812],富国互联科技股票
保利地产[600048],兴全趋势
柏楚电子[688188],易方达新收益A
片仔癀[600436],银华富裕主题混合
昭衍新药[603127],工银养老产业股票
九洲药业[603456],工银养老产业股票
中国平安[601318],兴全趋势
康方生物-B[09926],南方香港成长
麦格米特[002851],鹏华新兴产业混合
金山软件[03888],前海开源沪港深优势精选
桐昆股份[601233],交银新成长混合
中科创达[300496],嘉实新兴产业
潞安环能[601699],工银战略转型股票
健友股份[603707],兴全合润混合
宝信软件[600845],富国互联科技股票
中公教育[002607],交银新成长混合
福耀玻璃[03606],富国中国中小盘混合
壹网壹创[300792],鹏华新兴产业混合
天齐锂业[002466],信达澳银新能源产业
用友网络[600588],万家行业优选混合
天坛生物[600161],易方达中小盘混合
中国联通[600050],工银文体产业股票
比亚迪股份[01211],前海开源沪港深优势精选
中国建筑[601668],工银战略转型股票
贝达药业[300558],易方达新收益A
光大银行[601818],工银战略转型股票
碧桂园服务[06098],前海开源沪港深优势精选
安琪酵母[600298],汇添富成长焦点
华大基因[300676],万家行业优选混合
满帮集团[YMM UN],南方香港成长
康泰生物[300601],广发小盘成长混合（LOF）
扬农化工[600486],易方达新收益A
普洛药业[000739],兴全合润混合
